Date,Ticker,Attribute,Value
2021-04-23,META,Open,298.760009765625
2021-04-26,META,Open,303.3399963378906
2021-04-27,META,Open,304.2799987792969
2021-04-28,META,Open,307.3599853515625
2021-04-29,META,Open,330.1199951171875
2021-04-30,META,Open,326.1400146484375
2021-05-03,META,Open,326.1700134277344
2021-05-04,META,Open,320.0199890136719
2021-05-05,META,Open,318.19000244140625
2021-05-06,META,Open,314.5199890136719
2021-05-07,META,Open,322.3800048828125
2021-05-10,META,Open,314.3500061035156
2021-05-11,META,Open,300.75
2021-05-12,META,Open,301.1300048828125
2021-05-13,META,Open,306.0799865722656
2021-05-14,META,Open,309.5400085449219
2021-05-17,META,Open,313.54998779296875
2021-05-18,META,Open,315.5899963378906
2021-05-19,META,Open,304.19000244140625
2021-05-20,META,Open,313.5799865722656
2021-05-21,META,Open,319.2900085449219
2021-05-24,META,Open,318.2099914550781
2021-05-25,META,Open,327.0799865722656
2021-05-26,META,Open,328.3500061035156
2021-05-27,META,Open,328.0
2021-05-28,META,Open,331.0
2021-06-01,META,Open,330.1499938964844
2021-06-02,META,Open,330.3800048828125
2021-06-03,META,Open,325.7799987792969
2021-06-04,META,Open,325.8999938964844
2021-06-07,META,Open,329.4800109863281
2021-06-08,META,Open,336.70001220703125
2021-06-09,META,Open,335.739990234375
2021-06-10,META,Open,330.7900085449219
2021-06-11,META,Open,332.5799865722656
2021-06-14,META,Open,331.8999938964844
2021-06-15,META,Open,336.989990234375
2021-06-16,META,Open,336.70001220703125
2021-06-17,META,Open,330.489990234375
2021-06-18,META,Open,334.5299987792969
2021-06-21,META,Open,331.0899963378906
2021-06-22,META,Open,332.69000244140625
2021-06-23,META,Open,339.3500061035156
2021-06-24,META,Open,341.8500061035156
2021-06-25,META,Open,342.5899963378906
2021-06-28,META,Open,342.4599914550781
2021-06-29,META,Open,356.2699890136719
2021-06-30,META,Open,352.1700134277344
2021-07-01,META,Open,346.82000732421875
2021-07-02,META,Open,355.1000061035156
2021-07-06,META,Open,356.5
2021-07-07,META,Open,355.260009765625
2021-07-08,META,Open,345.7300109863281
2021-07-09,META,Open,345.32000732421875
2021-07-12,META,Open,351.2300109863281
2021-07-13,META,Open,351.5
2021-07-14,META,Open,354.55999755859375
2021-07-15,META,Open,349.2300109863281
2021-07-16,META,Open,344.9100036621094
2021-07-19,META,Open,337.57000732421875
2021-07-20,META,Open,338.79998779296875
2021-07-21,META,Open,341.5
2021-07-22,META,Open,346.67999267578125
2021-07-23,META,Open,360.9100036621094
2021-07-26,META,Open,369.5799865722656
2021-07-27,META,Open,371.9100036621094
2021-07-28,META,Open,374.55999755859375
2021-07-29,META,Open,361.0
2021-07-30,META,Open,354.0
2021-08-02,META,Open,358.1000061035156
2021-08-03,META,Open,352.7300109863281
2021-08-04,META,Open,352.4200134277344
2021-08-05,META,Open,359.6400146484375
2021-08-06,META,Open,361.3999938964844
2021-08-09,META,Open,363.760009765625
2021-08-10,META,Open,361.8299865722656
2021-08-11,META,Open,362.1000061035156
2021-08-12,META,Open,358.45001220703125
2021-08-13,META,Open,362.9700012207031
2021-08-16,META,Open,362.5199890136719
2021-08-17,META,Open,362.9800109863281
2021-08-18,META,Open,356.25
2021-08-19,META,Open,351.3500061035156
2021-08-20,META,Open,354.6000061035156
2021-08-23,META,Open,359.44000244140625
2021-08-24,META,Open,363.6600036621094
2021-08-25,META,Open,365.6000061035156
2021-08-26,META,Open,368.3800048828125
2021-08-27,META,Open,365.1000061035156
2021-08-30,META,Open,372.55999755859375
2021-08-31,META,Open,379.95001220703125
2021-09-01,META,Open,379.5899963378906
2021-09-02,META,Open,381.5
2021-09-03,META,Open,374.75
2021-09-07,META,Open,375.8800048828125
2021-09-08,META,Open,380.1600036621094
2021-09-09,META,Open,377.6400146484375
2021-09-10,META,Open,381.3599853515625
2021-09-13,META,Open,381.67999267578125
2021-09-14,META,Open,377.3999938964844
2021-09-15,META,Open,377.0
2021-09-16,META,Open,372.7900085449219
2021-09-17,META,Open,371.4100036621094
2021-09-20,META,Open,359.29998779296875
2021-09-21,META,Open,358.5
2021-09-22,META,Open,347.2300109863281
2021-09-23,META,Open,345.3599853515625
2021-09-24,META,Open,343.239990234375
2021-09-27,META,Open,349.80999755859375
2021-09-28,META,Open,347.9700012207031
2021-09-29,META,Open,343.1499938964844
2021-09-30,META,Open,340.45001220703125
2021-10-01,META,Open,341.6099853515625
2021-10-04,META,Open,335.5299987792969
2021-10-05,META,Open,328.5799865722656
2021-10-06,META,Open,329.739990234375
2021-10-07,META,Open,337.0
2021-10-08,META,Open,331.510009765625
2021-10-11,META,Open,327.6300048828125
2021-10-12,META,Open,323.0299987792969
2021-10-13,META,Open,326.9700012207031
2021-10-14,META,Open,328.3599853515625
2021-10-15,META,Open,328.67999267578125
2021-10-18,META,Open,328.95001220703125
2021-10-19,META,Open,339.6499938964844
2021-10-20,META,Open,343.45001220703125
2021-10-21,META,Open,340.2799987792969
2021-10-22,META,Open,326.3500061035156
2021-10-25,META,Open,320.29998779296875
2021-10-26,META,Open,328.260009765625
2021-10-27,META,Open,314.19000244140625
2021-10-28,META,Open,312.989990234375
2021-10-29,META,Open,320.19000244140625
2021-11-01,META,Open,326.0400085449219
2021-11-02,META,Open,331.3800048828125
2021-11-03,META,Open,327.489990234375
2021-11-04,META,Open,334.010009765625
2021-11-05,META,Open,340.30999755859375
2021-11-08,META,Open,344.4200134277344
2021-11-09,META,Open,340.0
2021-11-10,META,Open,332.489990234375
2021-11-11,META,Open,329.82000732421875
2021-11-12,META,Open,330.17999267578125
2021-11-15,META,Open,344.3399963378906
2021-11-16,META,Open,343.8299865722656
2021-11-17,META,Open,344.239990234375
2021-11-18,META,Open,339.7200012207031
2021-11-19,META,Open,342.20001220703125
2021-11-22,META,Open,349.04998779296875
2021-11-23,META,Open,338.92999267578125
2021-11-24,META,Open,336.0
2021-11-26,META,Open,335.79998779296875
2021-11-29,META,Open,336.8900146484375
2021-11-30,META,Open,335.0
2021-12-01,META,Open,330.2900085449219
2021-12-02,META,Open,311.3999938964844
2021-12-03,META,Open,313.7300109863281
2021-12-06,META,Open,308.1300048828125
2021-12-07,META,Open,321.57000732421875
2021-12-08,META,Open,325.0
2021-12-09,META,Open,329.5400085449219
2021-12-10,META,Open,332.55999755859375
2021-12-13,META,Open,330.95001220703125
2021-12-14,META,Open,328.04998779296875
2021-12-15,META,Open,332.489990234375
2021-12-16,META,Open,338.9800109863281
2021-12-17,META,Open,332.79998779296875
2021-12-20,META,Open,329.7799987792969
2021-12-21,META,Open,326.4100036621094
2021-12-22,META,Open,333.79998779296875
2021-12-23,META,Open,330.1000061035156
2021-12-27,META,Open,338.8500061035156
2021-12-28,META,Open,346.6300048828125
2021-12-29,META,Open,346.9100036621094
2021-12-30,META,Open,344.0
2020-01-02,MSFT,Open,158.77999877929688
2020-01-03,MSFT,Open,158.32000732421875
2020-01-06,MSFT,Open,157.0800018310547
2020-01-07,MSFT,Open,159.32000732421875
2020-01-08,MSFT,Open,158.92999267578125
2020-01-09,MSFT,Open,161.83999633789062
2020-01-10,MSFT,Open,162.82000732421875
2020-01-13,MSFT,Open,161.75999450683594
2020-01-14,MSFT,Open,163.38999938964844
2020-01-15,MSFT,Open,162.6199951171875
2020-01-16,MSFT,Open,164.35000610351562
2020-01-17,MSFT,Open,167.4199981689453
2020-01-21,MSFT,Open,166.67999267578125
2020-01-22,MSFT,Open,167.39999389648438
2020-01-23,MSFT,Open,166.19000244140625
2020-01-24,MSFT,Open,167.50999450683594
2020-01-27,MSFT,Open,161.14999389648438
2020-01-28,MSFT,Open,163.77999877929688
2020-01-29,MSFT,Open,167.83999633789062
2020-01-30,MSFT,Open,174.0500030517578
2020-01-31,MSFT,Open,172.2100067138672
2020-02-03,MSFT,Open,170.42999267578125
2020-02-04,MSFT,Open,177.13999938964844
2020-02-05,MSFT,Open,184.02999877929688
2020-02-06,MSFT,Open,180.97000122070312
2020-02-07,MSFT,Open,182.85000610351562
2020-02-10,MSFT,Open,183.5800018310547
2020-02-11,MSFT,Open,190.64999389648438
2020-02-12,MSFT,Open,185.5800018310547
2020-02-13,MSFT,Open,183.0800018310547
2020-02-14,MSFT,Open,183.25
2020-02-18,MSFT,Open,185.61000061035156
2020-02-19,MSFT,Open,188.05999755859375
2020-02-20,MSFT,Open,186.9499969482422
2020-02-21,MSFT,Open,183.1699981689453
2020-02-24,MSFT,Open,167.77000427246094
2020-02-25,MSFT,Open,174.1999969482422
2020-02-26,MSFT,Open,169.7100067138672
2020-02-27,MSFT,Open,163.32000732421875
2020-02-28,MSFT,Open,152.41000366210938
2020-03-02,MSFT,Open,165.30999755859375
2020-03-03,MSFT,Open,173.8000030517578
2020-03-04,MSFT,Open,168.49000549316406
2020-03-05,MSFT,Open,166.0500030517578
2020-03-06,MSFT,Open,162.61000061035156
2020-03-09,MSFT,Open,151.0
2020-03-10,MSFT,Open,158.16000366210938
2020-03-11,MSFT,Open,157.1300048828125
2020-03-12,MSFT,Open,145.3000030517578
2020-03-13,MSFT,Open,147.5
2020-03-16,MSFT,Open,140.0
2020-03-17,MSFT,Open,140.0
2020-03-18,MSFT,Open,138.0
2020-03-19,MSFT,Open,142.77000427246094
2020-03-20,MSFT,Open,146.0
2020-03-23,MSFT,Open,137.00999450683594
2020-03-24,MSFT,Open,143.75
2020-03-25,MSFT,Open,148.91000366210938
2020-03-26,MSFT,Open,148.39999389648438
2020-03-27,MSFT,Open,151.75
2020-03-30,MSFT,Open,152.44000244140625
2020-03-31,MSFT,Open,159.39999389648438
2020-04-01,MSFT,Open,153.0
2020-04-02,MSFT,Open,151.86000061035156
2020-04-03,MSFT,Open,155.10000610351562
2020-04-06,MSFT,Open,160.32000732421875
2020-04-07,MSFT,Open,169.58999633789062
2020-04-08,MSFT,Open,165.6699981689453
2020-04-09,MSFT,Open,166.36000061035156
2020-04-13,MSFT,Open,164.35000610351562
2020-04-14,MSFT,Open,169.0
2020-04-15,MSFT,Open,171.1999969482422
